Filename,GrayValue,ROI_Size
4.066.bmp,59.40888888888889,15x15
4.067.bmp,59.53777777777778,15x15
4.068.bmp,59.39111111111111,15x15
4.069.bmp,59.42666666666667,15x15
4.07.bmp,59.33777777777778,15x15
4.071.bmp,59.31111111111111,15x15
4.072.bmp,59.2,15x15
4.073.bmp,59.24,15x15
4.074.bmp,59.315555555555555,15x15
4.075.bmp,59.026666666666664,15x15
4.076.bmp,59.111111111111114,15x15
4.077.bmp,59.23111111111111,15x15
4.078.bmp,59.093333333333334,15x15
4.079.bmp,58.964444444444446,15x15
4.08.bmp,59.111111111111114,15x15
4.081.bmp,59.01777777777778,15x15
4.082.bmp,59.00888888888889,15x15
4.083.bmp,59.026666666666664,15x15
4.084.bmp,58.76,15x15
4.085.bmp,58.86666666666667,15x15
4.086.bmp,58.702222222222225,15x15
4.087.bmp,58.85333333333333,15x15
4.088.bmp,58.76444444444444,15x15
4.089.bmp,58.76,15x15
4.09.bmp,58.644444444444446,15x15
4.091.bmp,58.73777777777778,15x15
4.092.bmp,58.52,15x15
4.093.bmp,58.50222222222222,15x15
4.094.bmp,58.44,15x15
4.095.bmp,58.422222222222224,15x15
4.096.bmp,58.48444444444444,15x15
4.097.bmp,58.41777777777778,15x15
4.098.bmp,58.595555555555556,15x15
4.099.bmp,58.27111111111111,15x15
4.1.bmp,58.40888888888889,15x15
4.101.bmp,58.50222222222222,15x15
4.102.bmp,58.44888888888889,15x15
4.103.bmp,58.17777777777778,15x15
4.104.bmp,58.22666666666667,15x15
4.105.bmp,58.257777777777775,15x15
4.106.bmp,58.24444444444445,15x15
4.107.bmp,58.12888888888889,15x15
4.108.bmp,58.22666666666667,15x15
4.109.bmp,58.15555555555556,15x15
4.11.bmp,58.10666666666667,15x15
4.111.bmp,58.044444444444444,15x15
4.112.bmp,58.12444444444444,15x15
4.113.bmp,58.14222222222222,15x15
4.114.bmp,57.99111111111111,15x15
4.115.bmp,57.86666666666667,15x15
4.116.bmp,58.062222222222225,15x15
4.117.bmp,57.83555555555556,15x15
4.118.bmp,57.70666666666666,15x15
4.119.bmp,58.053333333333335,15x15
4.12.bmp,57.83555555555556,15x15
4.121.bmp,57.83555555555556,15x15
4.122.bmp,57.74666666666667,15x15
4.123.bmp,57.81333333333333,15x15
4.124.bmp,57.946666666666665,15x15
4.125.bmp,57.79555555555555,15x15
4.126.bmp,57.83555555555556,15x15
4.127.bmp,57.82666666666667,15x15
4.128.bmp,57.617777777777775,15x15
4.129.bmp,57.76444444444444,15x15
4.13.bmp,57.60444444444445,15x15
4.131.bmp,57.68888888888889,15x15
4.132.bmp,57.76,15x15
4.133.bmp,57.73777777777778,15x15
4.134.bmp,57.55555555555556,15x15
4.135.bmp,57.684444444444445,15x15
4.136.bmp,57.64,15x15
4.137.bmp,57.4,15x15
4.138.bmp,57.49777777777778,15x15
4.139.bmp,57.431111111111115,15x15
4.14.bmp,57.724444444444444,15x15
4.141.bmp,57.568888888888885,15x15
4.142.bmp,57.50222222222222,15x15
4.143.bmp,57.595555555555556,15x15
4.144.bmp,57.47555555555556,15x15
4.145.bmp,57.51111111111111,15x15
4.146.bmp,57.50222222222222,15x15
4.147.bmp,57.52,15x15
4.148.bmp,57.382222222222225,15x15
4.149.bmp,57.373333333333335,15x15
4.15.bmp,57.46222222222222,15x15
4.151.bmp,57.44888888888889,15x15
4.152.bmp,57.51111111111111,15x15
4.153.bmp,57.644444444444446,15x15
4.154.bmp,57.52,15x15
4.155.bmp,57.34222222222222,15x15
4.156.bmp,57.44888888888889,15x15
4.157.bmp,57.297777777777775,15x15
4.158.bmp,57.34222222222222,15x15
4.159.bmp,57.52444444444444,15x15
4.16.bmp,57.49333333333333,15x15
4.161.bmp,57.315555555555555,15x15
4.162.bmp,57.33777777777778,15x15
4.163.bmp,57.32,15x15
4.164.bmp,57.373333333333335,15x15
4.165.bmp,57.306666666666665,15x15
4.166.bmp,57.34222222222222,15x15
4.167.bmp,57.49333333333333,15x15
4.168.bmp,57.413333333333334,15x15
4.169.bmp,57.44888888888889,15x15
4.17.bmp,57.16,15x15
4.171.bmp,57.208888888888886,15x15
4.172.bmp,57.47555555555556,15x15
4.173.bmp,57.22222222222222,15x15
4.174.bmp,57.266666666666666,15x15
4.175.bmp,57.34222222222222,15x15
4.176.bmp,57.217777777777776,15x15
4.177.bmp,57.28888888888889,15x15
4.178.bmp,57.45777777777778,15x15
4.179.bmp,57.30222222222222,15x15
4.18.bmp,57.31111111111111,15x15
4.181.bmp,57.20444444444445,15x15
4.182.bmp,57.28888888888889,15x15
4.183.bmp,57.382222222222225,15x15
4.184.bmp,57.15555555555556,15x15
4.185.bmp,57.20444444444445,15x15
4.186.bmp,57.2,15x15
4.187.bmp,57.17777777777778,15x15
4.188.bmp,57.431111111111115,15x15
4.189.bmp,57.32888888888889,15x15
4.19.bmp,57.20444444444445,15x15
4.191.bmp,57.28,15x15
4.192.bmp,57.27111111111111,15x15
4.193.bmp,57.333333333333336,15x15
4.194.bmp,57.32,15x15
4.195.bmp,57.19555555555556,15x15
4.196.bmp,57.284444444444446,15x15
4.197.bmp,57.32888888888889,15x15
4.198.bmp,57.45333333333333,15x15
4.199.bmp,57.49333333333333,15x15
4.2.bmp,57.36,15x15
4.201.bmp,57.33777777777778,15x15
4.202.bmp,57.21333333333333,15x15
4.203.bmp,57.14222222222222,15x15
4.204.bmp,57.404444444444444,15x15
4.205.bmp,57.39111111111111,15x15
4.206.bmp,57.208888888888886,15x15
4.207.bmp,57.29333333333334,15x15
4.208.bmp,57.346666666666664,15x15
4.209.bmp,57.17777777777778,15x15
4.21.bmp,57.24888888888889,15x15
4.211.bmp,57.382222222222225,15x15
4.212.bmp,57.37777777777778,15x15
4.213.bmp,57.471111111111114,15x15
4.214.bmp,57.346666666666664,15x15
4.215.bmp,57.36,15x15
4.216.bmp,57.27111111111111,15x15
4.217.bmp,57.48444444444444,15x15
